"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-1.610528,54.97825,172,2020-07-21,18,"NEWC","Newcastle Centre","Urban Background",36.8726366666667
1.302686,52.614823,172,2020-07-21,19,"NO12","Norwich Lakenfields","Urban Background",43.8970858333333
-1.146447,52.95473,172,2020-07-21,20,"NOTT","Nottingham Centre","Urban Background",41.14953375
-0.916605,52.272257,172,2020-07-21,21,"NTN4","Northampton Spring Park","Urban Background",51.9179975
1.04901,51.777874,172,2020-07-21,22,"OSY","St Osyth","Rural Background",58.09081
-3.196527,55.657472,172,2020-07-21,23,"PEEB","Peebles","Urban Background",34.224594
-4.142361,50.37167,172,2020-07-21,24,"PLYM","Plymouth Centre","Urban Background",57.9037120833333
0.678331,51.544166,172,2020-07-21,25,"SEND","Southend-on-Sea","Urban Background",50.8440739130435
1.463497,52.2944,172,2020-07-21,26,"SIB","Sibton","Rural Background",50.59446
-2.175133,53.02821,172,2020-07-21,27,"STOK","Stoke-on-Trent Centre","Urban Background",31.9984473913043
-1.406878,54.88361,172,2020-07-21,28,"SUN2","Sunderland Silksworth","Urban Background",41.708745
-3.022722,53.37287,172,2020-07-21,29,"TRAN","Wirral Tranmere","Urban Background",48.1372558333333
-2.030371,52.605641,172,2020-07-21,30,"WAL4","Walsall Woodlands","Urban Background",39.6770120833333
0.290917,52.2985,172,2020-07-21,31,"WFEN","Wicken Fen","Rural Background",43.0752445833333
-2.638139,53.54914,172,2020-07-21,32,"WIG5","Wigan Centre","Urban Background",37.9183014285714
-3.2429,55.79216,173,2020-07-22,1,"ACTH","Auchencorth Moss","Rural Background",39.2107547619048
-1.874978,52.476145,173,2020-07-22,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",31.8217145833333
-3.205782,55.862281,173,2020-07-22,3,"BUSH","Bush Estate","Rural Background",36.9295218181818
-1.560189,52.411628,173,2020-07-22,4,"COAL","Coventry Allesley","Urban Background",46.3390466666667
-3.182186,55.945589,173,2020-07-22,7,"ED3","Edinburgh St Leonards","Urban Background",27.4757219047619
-5.101102,56.82266,173,2020-07-22,8,"FW","Fort William","Suburban Background",34.351455
-4.243631,55.865782,173,2020-07-22,9,"GLKP","Glasgow Townhead","Urban Background",23.2220245833333
-0.460861,51.49633,173,2020-07-22,10,"HIL","London Hillingdon","Urban Background",55.60746
-0.341222,53.74878,173,2020-07-22,11,"HUL2","Hull Freetown","Urban Background",35.0009758333333
-1.127182,52.619904,173,2020-07-22,12,"LECU","Leicester University","Urban Background",41.99424125
-2.73684,52.221593,173,2020-07-22,13,"LEOM","Leominster","Suburban Background",43.0087229166667
-7.900328,54.43951,173,2020-07-22,14,"LN","Lough Navar","Rural Background",26.4347108333333
-2.238917,53.371722,173,2020-07-22,15,"MAHG","Manchester Sharston","Suburban Industrial",28.6932495652174
-2.237881,53.48152,173,2020-07-22,16,"MAN3","Manchester Piccadilly","Urban Background",21.7274916666667
-9.903917,53.326444,173,2020-07-22,17,"MH","Mace Head","Rural Background",49.3752820833333
-1.610528,54.97825,173,2020-07-22,18,"NEWC","Newcastle Centre","Urban Background",29.3374841666667
1.302686,52.614823,173,2020-07-22,19,"NO12","Norwich Lakenfields","Urban Background",62.5062945833333
-1.146447,52.95473,173,2020-07-22,20,"NOTT","Nottingham Centre","Urban Background",42.64492125
-0.916605,52.272257,173,2020-07-22,21,"NTN4","Northampton Spring Park","Urban Background",57.2959941666667
1.04901,51.777874,173,2020-07-22,22,"OSY","St Osyth","Rural Background",72.65110375
-3.196527,55.657472,173,2020-07-22,23,"PEEB","Peebles","Urban Background",33.6432366666667
-4.142361,50.37167,173,2020-07-22,24,"PLYM","Plymouth Centre","Urban Background",53.2734108333333
0.678331,51.544166,173,2020-07-22,25,"SEND","Southend-on-Sea","Urban Background",65.5635975
1.463497,52.2944,173,2020-07-22,26,"SIB","Sibton","Rural Background",65.8158304166667
-2.175133,53.02821,173,2020-07-22,27,"STOK","Stoke-on-Trent Centre","Urban Background",37.970362173913
-1.406878,54.88361,173,2020-07-22,28,"SUN2","Sunderland Silksworth","Urban Background",40.98669
-3.022722,53.37287,173,2020-07-22,29,"TRAN","Wirral Tranmere","Urban Background",38.73667625
-2.030371,52.605641,173,2020-07-22,30,"WAL4","Walsall Woodlands","Urban Background",40.8785895833333
0.290917,52.2985,173,2020-07-22,31,"WFEN","Wicken Fen","Rural Background",68.5917945833333
-2.638139,53.54914,173,2020-07-22,32,"WIG5","Wigan Centre","Urban Background",26.81791375
-3.2429,55.79216,174,2020-07-23,1,"ACTH","Auchencorth Moss","Rural Background",28.9459670833333
-1.874978,52.476145,174,2020-07-23,2,"BIRR","Birmingham A4540 Roadside","Urban Traffic",34.6309391666667
-3.205782,55.862281,174,2020-07-23,3,"BUSH","Bush Estate","Rural Background",28.1310566666667
-1.560189,52.411628,174,2020-07-23,4,"COAL","Coventry Allesley","Urban Background",44.8796916666667
-3.182186,55.945589,174,2020-07-23,7,"ED3","Edinburgh St Leonards","Urban Background",18.0818754166667
-5.101102,56.82266,174,2020-07-23,8,"FW","Fort William","Suburban Background",35.2056429166667
