"U","V","T","tstamp","SID","SCODE","SFNAME","STYPE","Poll_Value"
-3.182186,55.945589,191,2020-08-09,11,"ED3","Edinburgh St Leonards","Urban Background",5.14254166666667
-4.238214,55.860936,191,2020-08-09,12,"GHSR","Glasgow High Street","Urban Traffic",4.53716666666667
-4.734421,55.944079,191,2020-08-09,13,"GKA8","Greenock A8 Roadside","Urban Traffic",3.58741666666667
-4.243631,55.865782,191,2020-08-09,14,"GLKP","Glasgow Townhead","Urban Background",4.55591666666667
-0.037418,51.449674,191,2020-08-09,15,"HP1","London Honor Oak Park","Urban Background",18.919125
-0.213492,51.52105,191,2020-08-09,16,"KC1","London N. Kensington","Urban Background",17.477375
-1.533119,52.28881,191,2020-08-09,17,"LEAM","Leamington Spa","Urban Background",9.50670833333333
-7.900328,54.43951,191,2020-08-09,18,"LN","Lough Navar","Rural Background",2.81245833333333
1.302686,52.614823,191,2020-08-09,19,"NO12","Norwich Lakenfields","Urban Background",15.9955416666667
-1.146447,52.95473,191,2020-08-09,20,"NOTT","Nottingham Centre","Urban Background",11.868125
-1.260278,51.744806,191,2020-08-09,21,"OX8","Oxford St Ebbes","Urban Background",11.9842083333333
-2.680353,53.76559,191,2020-08-09,22,"PRES","Preston","Urban Background",8.03566666666667
0.634889,51.45617,191,2020-08-09,23,"ROCH","Rochester Stoke","Rural Background",22.073625
0.678331,51.544166,191,2020-08-09,24,"SEND","Southend-on-Sea","Urban Background",18.5800833333333
-1.478096,53.378622,191,2020-08-09,25,"SHDG","Sheffield Devonshire Green","Urban Background",12.026375
-1.395757,50.908173,191,2020-08-09,26,"SOUT","Southampton Centre","Urban Background",16.6745416666667
-1.406878,54.88361,191,2020-08-09,27,"SUN2","Sunderland Silksworth","Urban Background",7.41558333333333
-3.022722,53.37287,191,2020-08-09,28,"TRAN","Wirral Tranmere","Urban Background",9.736625
-2.638139,53.54914,191,2020-08-09,29,"WIG5","Wigan Centre","Urban Background",9.266875
-3.002829,53.042282,191,2020-08-09,30,"WREX","Wrexham","Urban Traffic",13.5437083333333
-2.094278,57.15736,192,2020-08-10,1,"ABD","Aberdeen","Urban Background",6.40925
-3.2429,55.79216,192,2020-08-10,2,"ACTH","Auchencorth Moss","Rural Background",6.755125
-5.928833,54.59965,192,2020-08-10,3,"BEL2","Belfast Centre","Urban Background",8.44541666666667
-1.874978,52.476145,192,2020-08-10,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",16.7217083333333
-3.007175,53.80489,192,2020-08-10,5,"BLC2","Blackpool Marton","Urban Background",11.8809583333333
-1.918235,52.481346,192,2020-08-10,6,"BMLD","Birmingham Ladywood","Urban Background",16.7129166666667
-1.454946,53.244131,192,2020-08-10,7,"CHLG","Chesterfield Loundsley Green","Urban Background",13.7059583333333
-1.456928,53.231751,192,2020-08-10,8,"CHS7","Chesterfield Roadside","Urban Traffic",13.9663333333333
-1.560189,52.411628,192,2020-08-10,9,"COAL","Coventry Allesley","Urban Background",16.1742916666667
-2.334139,53.48481,192,2020-08-10,10,"ECCL","Salford Eccles","Urban Background",12.198375
-3.182186,55.945589,192,2020-08-10,11,"ED3","Edinburgh St Leonards","Urban Background",7.34279166666667
-4.238214,55.860936,192,2020-08-10,12,"GHSR","Glasgow High Street","Urban Traffic",6.73541666666667
-4.734421,55.944079,192,2020-08-10,13,"GKA8","Greenock A8 Roadside","Urban Traffic",5.978125
-4.243631,55.865782,192,2020-08-10,14,"GLKP","Glasgow Townhead","Urban Background",6.77091666666667
-0.037418,51.449674,192,2020-08-10,15,"HP1","London Honor Oak Park","Urban Background",20.8353333333333
-0.213492,51.52105,192,2020-08-10,16,"KC1","London N. Kensington","Urban Background",18.65975
-1.533119,52.28881,192,2020-08-10,17,"LEAM","Leamington Spa","Urban Background",15.81575
-7.900328,54.43951,192,2020-08-10,18,"LN","Lough Navar","Rural Background",5.83625
1.302686,52.614823,192,2020-08-10,19,"NO12","Norwich Lakenfields","Urban Background",15.3519166666667
-1.146447,52.95473,192,2020-08-10,20,"NOTT","Nottingham Centre","Urban Background",16.1635833333333
-1.260278,51.744806,192,2020-08-10,21,"OX8","Oxford St Ebbes","Urban Background",15.589625
-2.680353,53.76559,192,2020-08-10,22,"PRES","Preston","Urban Background",12.275
0.634889,51.45617,192,2020-08-10,23,"ROCH","Rochester Stoke","Rural Background",29.4478333333333
0.678331,51.544166,192,2020-08-10,24,"SEND","Southend-on-Sea","Urban Background",21.846625
-1.478096,53.378622,192,2020-08-10,25,"SHDG","Sheffield Devonshire Green","Urban Background",15.148375
-1.395757,50.908173,192,2020-08-10,26,"SOUT","Southampton Centre","Urban Background",22.80275
-1.406878,54.88361,192,2020-08-10,27,"SUN2","Sunderland Silksworth","Urban Background",9.01045833333333
-3.022722,53.37287,192,2020-08-10,28,"TRAN","Wirral Tranmere","Urban Background",11.0141666666667
-2.638139,53.54914,192,2020-08-10,29,"WIG5","Wigan Centre","Urban Background",11.425
-3.002829,53.042282,192,2020-08-10,30,"WREX","Wrexham","Urban Traffic",16.829875
-2.094278,57.15736,193,2020-08-11,1,"ABD","Aberdeen","Urban Background",13.1684166666667
-3.2429,55.79216,193,2020-08-11,2,"ACTH","Auchencorth Moss","Rural Background",8.97895833333333
-5.928833,54.59965,193,2020-08-11,3,"BEL2","Belfast Centre","Urban Background",10.7115
-1.874978,52.476145,193,2020-08-11,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",26.2717916666667
-3.007175,53.80489,193,2020-08-11,5,"BLC2","Blackpool Marton","Urban Background",14.1430833333333
-1.918235,52.481346,193,2020-08-11,6,"BMLD","Birmingham Ladywood","Urban Background",26.9645416666667
-1.454946,53.244131,193,2020-08-11,7,"CHLG","Chesterfield Loundsley Green","Urban Background",21.0535416666667
-1.456928,53.231751,193,2020-08-11,8,"CHS7","Chesterfield Roadside","Urban Traffic",21.7415
-1.560189,52.411628,193,2020-08-11,9,"COAL","Coventry Allesley","Urban Background",23.678375
-2.334139,53.48481,193,2020-08-11,10,"ECCL","Salford Eccles","Urban Background",22.3654166666667
-3.182186,55.945589,193,2020-08-11,11,"ED3","Edinburgh St Leonards","Urban Background",10.5719583333333
-4.238214,55.860936,193,2020-08-11,12,"GHSR","Glasgow High Street","Urban Traffic",7.36081818181818
-4.734421,55.944079,193,2020-08-11,13,"GKA8","Greenock A8 Roadside","Urban Traffic",10.5224166666667
-4.243631,55.865782,193,2020-08-11,14,"GLKP","Glasgow Townhead","Urban Background",10.1552916666667
-0.037418,51.449674,193,2020-08-11,15,"HP1","London Honor Oak Park","Urban Background",33.3463333333333
-0.213492,51.52105,193,2020-08-11,16,"KC1","London N. Kensington","Urban Background",34.1231818181818
-1.533119,52.28881,193,2020-08-11,17,"LEAM","Leamington Spa","Urban Background",19.9440833333333
-7.900328,54.43951,193,2020-08-11,18,"LN","Lough Navar","Rural Background",5.321
1.302686,52.614823,193,2020-08-11,19,"NO12","Norwich Lakenfields","Urban Background",24.4094166666667
-1.146447,52.95473,193,2020-08-11,20,"NOTT","Nottingham Centre","Urban Background",26.602
-1.260278,51.744806,193,2020-08-11,21,"OX8","Oxford St Ebbes","Urban Background",16.9311666666667
-2.680353,53.76559,193,2020-08-11,22,"PRES","Preston","Urban Background",16.55775
0.634889,51.45617,193,2020-08-11,23,"ROCH","Rochester Stoke","Rural Background",50.5200416666667
0.678331,51.544166,193,2020-08-11,24,"SEND","Southend-on-Sea","Urban Background",32.085375
-1.478096,53.378622,193,2020-08-11,25,"SHDG","Sheffield Devonshire Green","Urban Background",23.2007083333333
-1.395757,50.908173,193,2020-08-11,26,"SOUT","Southampton Centre","Urban Background",23.3835416666667
-1.406878,54.88361,193,2020-08-11,27,"SUN2","Sunderland Silksworth","Urban Background",14.5784583333333
-3.022722,53.37287,193,2020-08-11,28,"TRAN","Wirral Tranmere","Urban Background",19.303375
-2.638139,53.54914,193,2020-08-11,29,"WIG5","Wigan Centre","Urban Background",19.9470416666667
-3.002829,53.042282,193,2020-08-11,30,"WREX","Wrexham","Urban Traffic",25.5337083333333
-2.094278,57.15736,194,2020-08-12,1,"ABD","Aberdeen","Urban Background",9.603
-3.2429,55.79216,194,2020-08-12,2,"ACTH","Auchencorth Moss","Rural Background",5.92370833333333
-5.928833,54.59965,194,2020-08-12,3,"BEL2","Belfast Centre","Urban Background",13.354
-1.874978,52.476145,194,2020-08-12,4,"BIRR","Birmingham A4540 Roadside","Urban Traffic",20.5199166666667
-3.007175,53.80489,194,2020-08-12,5,"BLC2","Blackpool Marton","Urban Background",17.7623333333333
-1.918235,52.481346,194,2020-08-12,6,"BMLD","Birmingham Ladywood","Urban Background",20.0698333333333
-1.454946,53.244131,194,2020-08-12,7,"CHLG","Chesterfield Loundsley Green","Urban Background",16.1124583333333
-1.456928,53.231751,194,2020-08-12,8,"CHS7","Chesterfield Roadside","Urban Traffic",16.058375
-1.560189,52.411628,194,2020-08-12,9,"COAL","Coventry Allesley","Urban Background",21.8732083333333
-2.334139,53.48481,194,2020-08-12,10,"ECCL","Salford Eccles","Urban Background",14.9480416666667
-3.182186,55.945589,194,2020-08-12,11,"ED3","Edinburgh St Leonards","Urban Background",7.70445833333333
-4.238214,55.860936,194,2020-08-12,12,"GHSR","Glasgow High Street","Urban Traffic",5.72925
-4.734421,55.944079,194,2020-08-12,13,"GKA8","Greenock A8 Roadside","Urban Traffic",10.9375416666667
